Tree_ID,Height_m,Mean_Height_m,Crown_Area_m2,Crown_Volume_m3,AGB_kg
1,168.0,42.77778,47.49166894996,2031.588,101.5794
2,155.0,49.449543,33.833934088533596,1673.0725,83.653625
3,155.0,31.007133,72.53084952924175,2248.9736,112.448685
4,150.0,53.482758,18.003377771880263,962.8703,48.143517
5,145.0,43.473846,33.62699871184532,1461.895,73.09475
6,145.0,39.52494,43.559896792882704,1721.7023,86.08511
7,150.0,50.451458,21.314343798892725,1075.3397,53.766987
8,156.0,51.934353,47.28473357327172,2455.7021,122.78511
9,145.0,41.74552,57.734970096029805,2410.1763,120.50881
10,143.0,17.978205,80.70479690842876,1450.9274,72.54637
11,154.0,34.58942,41.076672272623355,1420.8182,71.04092
12,144.0,32.819756,59.70085617456846,1959.3676,97.968376
13,146.0,25.876162,66.84012667031408,1729.5659,86.478294
14,144.0,46.34742,22.0386176173017,1021.43304,51.07165
15,140.0,65.08547,24.21143907252863,1575.8129,78.79064
16,144.0,27.621254,37.97264162229917,1048.8519,52.442596
17,144.0,39.017143,18.106845460224402,706.47736,35.323868
18,135.0,38.473923,45.629250559765495,1755.5363,87.77682
19,139.0,38.359932,60.94246843469813,2337.749,116.88745
20,137.0,36.149876,42.111349156064755,1522.3201,76.116005
21,185.0,22.37143,18.106845460224402,405.076,20.2538
22,138.0,40.886463,23.69410063080793,968.76794,48.438396
23,140.0,47.77451,21.107408422204447,1008.39606,50.419804
24,136.0,44.4801,41.59401071434406,1850.1057,92.50529
25,147.0,55.846645,32.38538645171565,1808.6152,90.43076
26,136.0,52.869564,16.65829782340645,880.717,44.03585
27,133.0,52.292805,41.6974784026882,2180.478,109.0239
28,134.0,34.498924,96.0180147833614,3312.518,165.6259
29,146.0,28.350428,36.317158608792944,1029.6069,51.480347
30,142.0,44.58746,31.35070956827425,1397.8485,69.892426
31,134.0,55.342262,34.76514328363085,1923.9817,96.19909
32,133.0,38.857494,42.111349156064755,1636.3414,81.81707
33,134.0,40.760254,32.7992572050922,1336.906,66.8453
34,142.0,37.932976,38.593447752364014,1463.9644,73.19822
35,133.0,44.08626,32.38538645171565,1427.7506,71.387535
36,144.0,53.715687,10.553704211102223,566.8995,28.344975
37,135.0,61.072464,14.278540991491242,872.0257,43.601284
38,129.0,49.38535,32.488854140059786,1604.4734,80.22367
39,144.0,48.747826,11.898784159576035,580.03986,29.001993
40,144.0,27.761364,72.84125259427417,2022.1725,101.10863
41,141.0,44.137142,36.213690920448805,1598.3689,79.91845
42,129.0,60.71348,18.41724852525682,1118.1753,55.908764
43,131.0,35.67524,32.17845107502737,1147.974,57.3987
44,136.0,41.379032,25.659986709346583,1061.7854,53.08927
45,129.0,53.348316,18.41724852525682,982.5292,49.12646
46,131.0,48.369907,33.00619258178048,1596.5065,79.825325
47,131.0,34.100418,24.728777514249327,843.26166,42.163082
48,131.0,37.060528,39.31772157077299,1457.1355,72.85677
49,134.0,58.5,6.828867430713203,399.48874,19.974438
50,134.0,35.896847,36.110223232104666,1296.2432,64.81216
51,141.0,30.465626,33.10966027012462,1008.7065,50.435326
52,130.0,39.169567,23.79756831915207,932.1404,46.60702
53,138.0,37.44108,30.729903438209416,1150.5607,57.528034
54,131.0,35.954704,29.69522655476802,1067.6831,53.384155
55,140.0,48.709923,13.554267173082266,660.2273,33.011364
56,125.0,41.869232,26.901598969476254,1126.3492,56.317463
57,131.0,57.948277,18.003377771880263,1043.2646,52.163235
58,134.0,46.63372,17.796442395191985,829.9143,41.495716
59,124.0,52.067924,27.418937411196953,1427.6472,71.38236
60,128.0,48.35165,28.246678917950067,1365.7734,68.28867
61,141.0,35.697495,53.69973025060837,1916.9458,95.84729
62,126.0,38.89462,46.14658900148619,1794.854,89.7427
63,137.0,36.889423,21.521279175581004,793.9076,39.69538
64,126.0,58.565216,35.69635247872811,2090.5647,104.52824
65,136.0,51.44504,38.593447752364014,1985.4414,99.27207
66,129.0,39.710526,15.727088628309195,624.53094,31.226547
67,124.0,43.411377,47.28473357327172,2052.6956,102.63478
68,126.0,50.877552,20.27966691545133,1031.7798,51.58899
69,131.0,31.435,41.38707533765577,1301.0027,65.05013
70,130.0,52.842106,7.8635443141545975,415.52625,20.776312
71,134.0,57.02941,10.553704211102223,601.8715,30.093576
72,129.0,34.915195,29.281355801391463,1022.3642,51.11821
73,129.0,38.50857,18.106845460224402,697.26874,34.863438
74,122.0,40.459576,24.31490676087277,983.77075,49.188538
75,130.0,35.81449,35.69635247872811,1278.4468,63.92234
76,132.0,54.448277,6.001125923960087,326.75095,16.337547
77,138.0,41.067356,19.969263850418912,820.0849,41.004246
78,129.0,44.39496,36.93796473885778,1639.8594,81.99297
79,126.0,41.958015,27.108534346164532,1137.4203,56.871014
80,126.0,44.77061,57.734970096029805,2584.8298,129.2415
81,142.0,36.117977,18.41724852525682,665.1938,33.25969
82,127.0,39.00797,25.970389774379,1013.0521,50.652607
83,123.0,72.791306,11.898784159576035,866.128,43.3064
84,125.0,30.296934,54.010133315640786,1636.3414,81.81707
85,127.0,65.605385,23.073294500743096,1513.7323,75.686615
86,126.0,46.87192,21.003940733860308,984.49506,49.224754
87,129.0,39.136986,22.65942374736654,886.82153,44.341076
88,125.0,38.762318,35.69635247872811,1383.6733,69.18367
89,120.0,39.008904,34.868610971974995,1360.1863,68.009315
90,122.0,36.019867,31.24724187993011,1125.5215,56.276073
